average_rating,# num_pages,ratings_count,text_reviews_count
4.19,128,1191,32
3.7,160,3168,250
3.96,367,2077,209
3.89,256,587,29
3.82,320,299,39
4.33,100,9,0
3.58,224,16,4
3.4,216,10,0
3.94,48,17,0
3.99,360,985,23
4.01,250,37,7
3.57,32,14,0
4.01,205,6,1
4.11,367,366,16
4.11,352,2934,222
3.94,320,346,45
3.6,331,9530,604
3.91,244,770,72
4.04,215,688,68
3.94,191,2739,158
3.41,738,20508,1686
3.9,48,64,18
4.04,287,76,6
4.23,217,937,50
3.69,154,3237,134
3.69,318,50905,2290
3.82,348,13549,448
4.09,316,3181,53
4.04,506,7024,248
3.83,292,2627,142
3.77,797,60027,1854
3.77,635,386,40
3.75,117,22014,1363
3.85,192,918,62
3.67,181,1939,122
3.68,133,532,41
3.89,246,312,23
3.67,178,201,9
4.2,464,33,2
4.19,102,320,16
3.98,216,1272,78
3.92,132,6175,492
4.08,100,2893,210
3.83,311,301399,6160
3.83,213,393,41
3.83,245,5900,270
3.83,64,103,16
3.83,272,56,4
4.04,232,85,18
3.83,796,19852,601
4.63,270,81,4
4.06,417,547207,15763
4.06,448,54,6
4.06,456,73,8
4.04,64,2724,153
3.58,256,89,11
3.46,147,206,23
4.02,239,3956,242
4.24,352,4157,393
4.02,263,212561,7070
4.01,738,250,17
4.01,304,16743,617
4.17,382,3667,416
3.92,528,241727,5985
4.07,56,3192,23
3.87,434,10140,187
3.78,439,15580,422
3.97,256,6723,188
4.06,307,65988,1353
3.92,298,21562,722
3.97,240,72235,1269
4.14,368,2548,47
3.6,256,864,80
3.92,336,5,0
4.21,256,206193,8290
4.1,72,94,13
3.57,67,8773,937
3.78,347,9053,907
4.13,317,119,14
4.53,32,4967,69
3.92,827,1471,170
3.99,480,11361,533
3.68,254,8085,411
3.43,377,367,54
3.42,256,1285,70
3.22,224,449,40
3.48,272,2385,137
3.64,339,2990,201
4.12,1085,5110,577
3.96,547,1364,176
3.7,152,2132,229
4.02,784,752,211
4.06,773,7756,570
3.68,385,668,64
4.02,776,28034,2058
3.5,193,322,32
3.81,352,2356,215
3.88,227,2507,328
4.17,222,10584,651
3.8,272,2790,238
3.86,240,2665,282
3.81,234,1963,165
4.49,1122,1486,107
3.87,231,21868,1577
3.9,308,40276,1794
3.79,203,11696,696
3.65,96,3443,185
3.89,179,2818,153
3.91,256,70,2
3.83,306,17317,1138
3.98,320,14594,475
3.68,181,9200,599
3.92,129,120,18
3.9,217,354,35
3.23,145,6492,558
3.95,275,11238,420
3.77,104,2306,114
4.4,1075,20,1
3.77,58,126,13
3.93,608,49219,2672
3.39,211,207,26
4.13,262,676,87
3.79,544,4418,479
3.92,272,58,4
4.39,576,269,19
4.01,88,2506,224
3.77,542,2613,313
3.95,144,102,5
4.12,100,100,2
3.96,320,765,41
3.77,256,474,12
4.04,828,1525,52
3.92,112,66,7
3.67,6,369,86
3.67,336,1122,153
4.11,397,1601,92
4.15,216,1,0
3.79,328,6315,960
3.79,532,366,75
3.81,224,1346,40
4,296,767,28
3.8,456,540,43
3.84,575,274,28
3.83,245,25004,1104
3.74,272,59646,3341
3.77,310,125,10
3.51,419,462,17
3.77,540,157734,6101
4.08,32,1730,267
3.72,408,271,10
3.83,222,36,2
3.96,191,27,0
4.1,304,7123,257
4.11,1392,201919,5903
4.13,352,2256,191
3.65,528,65,5
3.68,1168,311883,14267
3.68,224,2674,105
3.86,752,1860,228
3.5,176,11122,438
3.63,105,106642,6951
3.91,464,22587,1065
3.87,340,3426,153
3.97,681,18,2
3.94,416,135,6
3.87,368,602,78
4.23,192,11894,608
3.63,286,47,5
3.08,571,1575,283
3.63,231,8568,639
3.55,277,16703,1811
3.77,826,44,3
3.59,528,221,10
3.75,391,31270,2749
4.02,228,79299,1118
3.59,164,8623,417
4.19,352,6132,173
3.96,118,7210,371
4.06,496,128,6
3.98,176,3958,237
3.98,533,390,48
3.59,112,5065,312
4.07,425,32578,1069
4.38,288,32,6
3.75,363,1,0
4.03,466,38,5
4.09,128,9,0
4.03,400,7,0
4.03,480,0,0
0,295,0,0
3.87,287,6560,235
4.25,1139,80225,4104
4.13,420,5,1
4.11,418,5,0
4.25,815,18790,552
3.93,927,29981,1682
3.61,448,2391,129
3.71,308,14508,525
3.25,308,4545,218
4.19,499,68751,2664
3.67,640,4572,259
4.2,464,1505,60
4.03,438,187493,6601
4.03,534,194,16
4.15,450,1413,30
4.23,381,1855,73
4.19,240,15854,1236
3.94,272,3536,141
4.19,257,258,30
4.26,259,48,6
3.85,192,814,71
3.85,197,1592632,54668
4.57,192,8568,141
4.56,192,15748,274
4.57,192,9621,145
4.49,192,103978,1326
4.55,200,9920,270
3.85,198,236,31
4.52,192,14101,384
4.28,324,1213,201
3.81,304,25729,1633
3.59,360,1124,67
3.86,112,1654353,23959
3.86,160,2088,162
3.74,464,19305,1510
4.02,182,134362,8278
3.82,215,29160,1083
4.1,503,211763,3015
4.1,434,1301305,19452
4.1,497,2075,254
4.08,144,142,8
4.1,493,3883,425
3.93,334,1438,148
4.1,3,24,5
3.44,58,9,2
3.37,95,57,6
3.74,250,31,3
4.71,0,20,4
3.88,736,2279854,20851
3.88,508,197,22
3.88,18,65,7
3.82,489,1588890,35316
3.82,467,1109,110
3.82,744,347,14
3.7,736,4864,410
3.7,556,511233,6870
3.7,585,3213,178
3.7,448,60,4
3.7,471,43,4
3.7,736,87,12
4.04,383,440,39
3.82,368,36,5
4.02,258,56189,2373
4.18,320,88437,2305
4.18,368,44,9
3.57,256,170,14
3.95,288,249,16
3.65,384,11727,856
4.25,194,67697,2865
4.25,4,78,12
4.22,480,9001,612
4.07,386,158126,6034
4.21,192,1269,30
3.6,284,32,5
3.73,326,282,42
3.98,418,195372,7481
3.98,260,54,7
3.92,5,26,2
3.92,336,20,3
3.74,399,187311,4923
3.74,384,793,75
4.07,269,296789,14990
3.78,422,70174,2245
4.5,1344,9845,1109
3.73,320,27,1
3.73,201,3806,275
3.63,288,398,63
3.95,405,788,51
4.12,245,218,17
4.05,432,36,1
3.16,368,25,7
3.98,68,10723,591
3.66,400,3250,68
4.15,256,22710,931
3.31,214,13,1
3.96,256,13866,73
3.95,256,38550,212
4.09,240,8719,54
4.1,256,3586,33
4.05,304,1376,16
3.92,287,270,15
3.96,320,589427,12648
3.96,250,185,23
3.96,496,94,5
3.96,264,75,6
3.93,525,19,0
4.25,338,179,22
3.9,401,4242,672
3.9,323,52,8
3.9,448,165,24
4.26,487,306069,21008
3.48,400,101,8
3.48,400,1,0
3.63,432,195863,10669
3.55,256,42,6
3.4,191,200,24
4.04,458,865,41
4.13,193,5000,267
3.68,542,55,4
3.95,115,14,1
3.72,397,1755,142
3.54,368,126108,3115
3.54,368,18,1
3.54,307,1057,121
3.54,286,100,9
3.54,2,41,3
3.77,320,80,12
4.04,512,183361,4406
4.04,468,471,63
4.43,0,611,34
4.56,24,0,0
4.26,317,78308,4002
0,112,0,0
4.19,452,52500,2751
4.41,392,20649,1530
4.41,523,316,31
4.06,414,15900,173
3.58,721,143,5
3.96,354,2884,193
3.89,448,3285,150
3.75,400,2083,121
4.02,168,46883,4238
3.74,176,14,1
3.88,340,79,6
4.12,160,216,19
3.91,128,27,5
3.91,176,227,20
4.36,583,998,13
4.31,736,16,2
4.87,410,15,0
4.47,157,14,1
4.48,125,25,4
4.05,272,146,4
4.41,233,15,1
3.84,128,25,6
3.95,208,7840,180
4.39,560,426,5
3.98,716,32923,558
3.98,622,223,18
3.98,613,2,0
3.98,772,265,39
3.98,653,134,17
3.98,464,38,5
3.98,816,125,10
3.98,710,36,6
3.85,683,275201,3218
3.85,574,995,131
3.85,588,664,72
4.03,1556,53185,367
3.85,462,1844,111
3.85,312,151,14
3.95,215,197,16
3.75,541,730272,6249
3.75,515,1650,173
3.75,374,1100,78
3.75,324,2405,159
3.75,304,252,24
4.34,161,65,6
4.31,607,368,10
4.14,136,66,7
3.82,180,237,14
3.9,272,52,0
4.55,2057,3702,163
4.59,1808,559,25
4.49,1248,62,6
4.01,289,577429,6702
4.62,1420,488,38
4.46,137,7970,117
3.65,272,878,90
3.31,212,696,56
3.7,142,21578,905
3.57,336,56713,2500
3.57,208,68403,2644
3.62,256,749,49
3.69,273,114826,4731
3.7,210,126224,5201
4.01,148,1605,116
3.68,129,65,6
4.04,240,98,16
4.27,450,458,52
4.3,496,191,7
3.72,172,567,13
4.34,400,36,0
3.89,530,151,23
3.89,554,24,4
4.28,480,33,0
4.5,34,2,0
4.03,221,4482,52
4.21,228,3313,44
4.21,307,546,8
4.39,312,593,68
4.17,432,1430,21
3.98,255,535,15
4.33,264,734,12
4.03,206,8994,113
4.21,432,58,4
3.85,431,199,9
4.13,360,153,8
3.86,160,146,13
3.78,192,9,0
3.56,64,31,4
3.85,128,108,6
4.07,282,146,2
3.83,142,1824,85
4.47,464,30,4
3.69,216,5,1
3.85,116,339,33
3.88,160,17,1
4.2,69,5,0
3.97,528,27,2
4.02,144,12,1
4.48,672,46,7
4.01,171,688,50
4.1,188,382,25
4.01,304,76,7
4.01,335,27759,536
4.01,224,286,20
4.1,160,4075,55
4.01,208,211,25
4.01,178,12,3
4.11,358,75,7
4.03,95,28,3
4.01,127,61,7
4.1,232,12,2
4.01,151,87,8
4.1,208,1,0
4.14,254,4952,34
3.97,288,529,45
4.27,420,2856,37
3.97,259,44470,672
3.97,430,2825,271
4.49,496,104,7
3.97,304,102,7
3.97,223,53,3
4.14,218,132,9
3.94,178,13060,183
3.69,75,134960,1646
3.97,390,8,1
3.69,214,209,1
3.69,144,706,49
4.06,624,5986,78
3.92,256,93,6
4.21,577,1954,32
3.83,322,4,0
3.76,480,1,0
3.96,241,3723,113
3.42,96,23,2
3.76,254,13,2
4.12,624,68,10
4.13,336,1241,17
3.95,224,372,27
4.03,400,14,2
4.19,608,57,3
2.33,80,3,0
4.07,376,14,3
3.85,98,19,2
3.58,408,243,11
3.85,132,29881,522
3.79,335,39,1
4.33,238,5,2
4.32,115,834287,24227
3.87,226,991627,34202
3.63,372,3941,353
3.94,298,371813,5196
4.19,294,23110,2370
3.98,220,133832,2321
3.94,55,23424,1595
3.99,318,466,65
3.99,267,95950,3597
3.86,278,21120,337
4.16,144,210,27
4.12,209,301,20
3.75,209,66,12
3.96,218,1188,71
3.75,227,1003,54
2.95,664,0,0
3.5,854,0,0
4.05,159,405,52
4.27,547,6294,165
3.91,416,138,24
3.92,905,99,15
4.04,144,251,19
4.27,576,1557,95
3.83,384,0,0
4.01,191,2213,60
3.91,296,73,9
3.53,176,257,30
3.74,144,219,31
3.94,540,26,2
4.06,302,2428,275
4.06,478,10,0
4.05,559,685,62
4.05,723,46550,716
4.23,264,174,19
4.05,624,27,8
4.25,584,220,16
4.3,560,31,3
4.38,524,76,8
4.02,400,93,4
4.12,451,412,14
4.57,499,60,4
4.42,496,757,14
4.08,152,12,0
3.67,222,6,1
4.62,440,12,0
3.63,197,33,5
3.63,208,254,14
4.07,640,14,0
3.45,302,241,19
3.85,594,22,2
3.76,345,120,15
4.04,302,27,2
3.4,334,10,1
3.75,212,11,0
3.41,408,1395,219
4.06,336,2700,167
4.06,336,46,2
3.95,336,11066,778
3.6,259,9956,858
4.02,518,4269,405
4.02,588,175,23
4.02,425,215744,7775
3.87,256,603,60
3.97,207,754275,17497
3.92,256,55195,1515
4.25,562,69142,4103
4,519,20270,917
3.78,354,2403,112
3.85,172,255627,6478
4.17,40,4372,366
2.67,196,9,2
3.62,240,163279,5673
4.04,176,14218,508
4.04,168,14,3
4.07,304,2827,68
4.04,168,286,25
4.07,304,47,2
4.25,480,11552,1170
4.43,128,3860,96
4.25,333,2369,259
4.25,392,1779,209
4.25,476,1131,167
4.25,392,1563,166
3.99,399,7271,1002
3.72,160,315,36
4.15,368,327791,11023
3.99,372,44,4
4,288,1836,124
3.68,616,85459,2797
3.68,495,36,0
4.02,342,41,1
3.65,144,260,35
4.06,449,1402458,15525
4.06,520,1319,122
4.06,562,422,40
4.06,389,151,8
4.31,1045,2949,82
4.06,327,74,8
3.83,293,901,74
3.83,489,693045,11614
3.49,128,35,10
3.83,496,128,29
3.83,409,1255,172
3.87,96,9,1
3.83,429,709,87
3.83,432,37,8
3.88,160,22,2
4.16,592,9180,198
3.29,96,7,0
4.21,416,1404,59
4.29,848,31,2
4.01,887,1223,146
3.98,928,352,18
3.85,416,4749,497
3.81,224,524,78
3.83,830,12722,365
3.71,176,4256,253
4.05,407,57,1
3.93,752,66,10
3.79,112,118,10
3.99,96,4184,85
4.4,240,11459,143
3.57,96,74,7
4.56,768,1173,72
3.65,256,1561,79
3.81,320,6022,139
3.43,192,1437,71
4.16,400,1859,97
2.67,96,3,1
3.8,88,3,1
3.85,320,76,6
3.75,276,3,0
3.78,124,51,5
5,364,0,0
3.43,127,7,1
4.47,1076,1077,48
4.49,1199,1296,63
4.45,1016,224,10
4.08,265,12648,527
4.15,292,24015,1120
4.16,384,4794,152
4.01,231,97885,3818
4.22,379,25244,1530
3.6,448,947,127
3.98,196,247,12
4.22,2,9,2
3.89,448,9703,319
4.04,588,12663,227
3.88,511,6393,253
3.83,368,2267,87
3.82,192,1516,64
3.76,244,20,3
3.92,200,474,34
4.14,512,4715,90
4.16,256,750,58
4.21,176,22855,794
4.15,216,27792,615
4.06,1160,1650,50
4.28,304,1383,22
3.93,224,241,9
4.04,160,648,30
4.09,152,945,37
3.83,188,4641,172
4.12,859,361,10
3.96,192,406,35
3.95,752,307,12
3.86,704,264209,9828
4.24,624,67,6
3.08,192,30,2
4.22,400,1341,133
3.93,230,1533,122
3.58,336,4380,441
3.9,342,14277,644
3.92,277,4089,345
4.17,400,12968,489
3.92,296,65,2
4.4,112,158,19
4.55,1103,298,31
3.08,288,56434,3445
4.55,1103,264,24
4.15,672,2211,66
4.13,249,421344,10674
3.78,128,1415,104
3.76,132,628067,14689
3.76,3,359,73
2.83,80,4,0
3.76,127,1160,116
3.76,127,761,86
3.66,329,183254,5640
3.66,190,8925,567
3.63,230,358,32
3.83,464,104,6
3.66,448,468,57
3.71,110,3050,139
3.83,460,13081,362
3.8,632,5,1
3.99,529,526111,19312
4.28,916,125020,5912
4.28,42,89,28
4.06,751,264047,5172
3.5,455,20,5
4.17,512,267,26
4.11,533,56,0
3.62,432,9,0
3.63,257,36,8
4,729,4666,119
4.16,288,140,11
4.08,192,186,8
3.77,664,112,12
3.64,46,55,7
4.09,368,2419,225
4.22,192,1685,102
3.9,384,328,23
4.14,240,38159,1561
4.18,32,152,14
3.72,294,34588,1828
3.67,344,354,26
4.11,1120,69904,1854
4.2,320,3842,215
3.89,162,5607,691
3.58,384,556,76
3.72,376,592,66
3.81,232,10212,618
4.07,15,529,126
3.96,288,2685,197
4.07,200,1771,150
4.16,291,1640,163
4.06,344,46,5
3.89,303,2687,175
4.3,1328,427,27
4.28,848,53,8
4.2,1137,65,9
3.95,272,743,62
4.09,231,40,9
3.68,183,34,9
3.93,192,3924,81
3.98,6,56,14
4.14,502,4541,159
4.38,1680,230,3
3.97,207,4635,69
4.49,1438,233,9
3.84,127,5221,198
3.8,611,2627,147
4.07,683,2203,130
4.01,671,3767,125
3.61,320,18,2
3.98,240,3166,441
4.12,445,21832,1131
4.06,752,1785,276
4.1,302,13806,1128
4.19,697,11534,987
4.19,528,132188,1636
4.19,467,222,31
4.19,640,26,2
3.49,25,66,17
3.72,192,155,16
3.49,6,8872,900
3.49,707,1165,193
3.61,208,50,7
3.85,104,38,5
4.15,96,12,1
3.84,156,21,4
3.85,102,6,0
3.49,248,2,1
3.33,164,0,0
4.28,400,16,1
4.16,302,278,34
3.91,401,2686,153
3.96,451,12329,135
4.23,374,55253,1173
3.86,560,8540,663
3.59,576,36,6
3,395,1,1
4.03,434,33,1
3.76,254,249,29
4.5,382,15,2
3.88,118,320900,6353
3.88,104,2864,281
3.88,150,359,36
3.84,138,1448,164
3.49,275,56,5
3.88,123,263,31
4.14,864,867,30
3.98,432,77,9
3.42,414,820,106
4.12,560,1323,113
4.35,120,7501,367
4.15,368,2470,388
4.11,326,106162,7807
4.28,377,788,110
3.89,245,10634,715
3.89,64,3138,233
3.91,346,5950,272
3.83,307,7390,535
3.8,292,305,30
4.03,384,3618,188
3.88,380,1106,89
3.79,461,1544,105
3.83,441,742,65
3.8,314,324,62
3.99,274,2425,257
4.42,902,1407,45
4.23,127,167189,4996
4.03,228,2035,100
3.63,320,480,39
3.63,281,5218,460
4.11,732,2664,104
5,83,1,0
3.92,230,1213,85
3.56,251,320,26
3.8,65,1103,75
3.83,165,3541,175
3.96,142,52,4
3.84,272,120,13
4.1,216,870,53
3.95,301,589855,11431
3.99,234,4504,80
3.99,286,28568,693
3.76,512,13291,646
3.76,505,523790,10337
3.76,776,563,39
3.81,364,107,13
4.27,323,10005,877
4.27,11,653,176
4.27,281,6334,805
4.27,323,250,32
3.84,690,57301,2105
4.02,199,61,4
4.02,197,6837,304
4.05,64,13312,137
3.79,416,2001,52
4.75,144,4,0
3.7,868,27,1
3.59,504,84,12
4.25,1035,24,5
4.68,713,25,3
4.23,958,188,7
4.04,563,137,11
3.49,504,161011,2251
3.49,465,249,21
3.49,1254,765,60
3.75,530,69,5
4.01,456,83,4
3.58,272,67,6
3.49,383,35,4
4.18,1327,7643,147
3.86,611,71,8
3.74,484,46854,2848
4.21,32,1054,159
3.51,261,4182,604
4.1,627,813,100
3.73,763,8884,939
4.29,288,8748,189
4.46,288,37,4
4.47,366,15,2
3.83,404,586,48
4.09,331,50499,2476
4.02,387,153485,6986
3.82,480,1355,122
3.88,371,20391,715
3.88,371,436,37
3.88,371,369,22
3.85,354,798,25
3,209,2,0
4.17,336,5894,542
4.08,729,156036,4511
4.08,619,38,3
4,496,22,0
3.99,232,648,11
4,272,197,8
3.78,176,177890,998
3.89,256,76,12
3.7,152,54061,3177
4.09,337,6196,311
4.08,373,694,111
3.93,303,433,17
3.76,307,3882,154
4.35,646,165,14
4.13,320,457,45
3.99,48,228,4
4.21,246,4985,473
4.02,204,365,22
4,320,819,41
3.98,84,32,1
3.98,160,9522,279
4,362,0,0
3.79,512,3671,56
3.79,0,3,0
3.99,191,1764,148
3.99,128,362535,8360
3.99,128,100,19
5,32,4,1
3.84,148,10,1
3.76,275,1954,289
3.76,32,108,21
4.26,266,97,26
4.26,186,1653,89
3.44,313,37,1
3.87,233,1134,126
3.87,233,537907,6627
3.87,248,1854,197
3.92,585,26,3
3.36,320,10584,1088
3.57,336,19784,1184
3.66,304,25334,1563
3.68,0,303,24
3.57,384,5,0
3.58,80,40,0
4.42,208,19266,67
4.22,200,136795,1011
4.38,208,10019,71
4.36,208,8584,77
4.36,208,7914,75
4.43,195,223,38
4.39,204,451,12
4.43,194,396,9
3.25,187,1,1
3.25,187,3,1
4.02,255,1095,183
4.02,321,8579,303
3.57,128,21,2
3.68,77,5832,387
3.85,128,1974,97
4.22,189,37,2
4.22,192,51,4
3.7,520,221,38
3.7,80,112,13
3.93,111,1139,214
4.43,560,538,45
3.88,226,24,1
4.25,272,5128,793
4.01,133,65,11
3.67,320,198677,3809
3.67,286,1415,134
3.67,436,547,60
3.67,397,70,8
3.67,482,200,32
3.67,288,311,18
3.79,733,545,34
3.85,389,5,0
3.59,277,236,30
4.06,808,32,3
3.81,327,1022438,11005
3.81,368,142,16
3.81,244,671,37
3.81,656,181,17
4.2,64,934,51
3.86,221,494,69
4.28,848,5618,137
4.05,508,2746,200
4.39,1050,199,9
4.28,383,5241,592
4.28,258,11,0
3.92,241,11794,940
3.95,282,679,38
3.76,281,1019,108
3.68,361,1718,110
4.13,331,725384,11113
4.13,281,1709,114
4.3,160,1346,72
4.13,288,512,13
4.19,242,232387,4144
4.28,128,142,19
4.31,448,5357,396
4.31,627,307,41
4.36,372,2282,270
4.14,256,1466,121
4.38,422,720,44
4.32,304,1668,150
3.97,214,1240,92
3.89,29,58,9
4.44,250,22,0
4.44,576,466,28
4.37,221,200,10
3.88,240,36530,79
4.12,448,568,43
3.95,335,8394,388
4.25,656,675,49
3.88,246,7880,306
4,184,4,0
3.66,248,633,45
3.59,73,63,5
3.89,88,0,0
3.9,119,120061,3224
4.1,449,2319,112
3.52,208,6,0
3.48,416,1587,121
3.96,246,54709,1429
4.01,256,20440,892
4.11,648,133,10
3.96,352,367,26
3.58,384,2636,334
4.18,450,147893,10334
3.98,258,35231,3322
3.97,336,3167,179
4.11,140,1818,111
4.21,151,1892,81
4.19,150,2024,72
4.25,390,8,0
4.33,314,8401,463
4.33,314,237,33
4.14,188,234,8
4.16,194,12,4
4.15,188,6,1
4.1,190,185,8
4.33,384,61,8
4.08,176,10,1
4.1,186,219,6
4.1,191,20,0
4.1,112,3,0
4.06,115,8,1
4.25,188,112,7
4.09,164,138,6
4.43,320,5,1
4,144,1,0
3.91,203,7,2
4.14,352,112,11
4.22,461,9,0
3.74,256,30,4
4.57,528,14,0
3.76,480,98,9
3.87,80,4220,117
4.28,304,315,12
4.16,405,85887,7741
4.1,186,558,48
3.56,176,26,1
3.96,320,422,23
3.97,352,12501,372
3.97,256,9,1
3.97,276,23,2
3.76,304,964,41
3.97,268,1443,77
3.92,321,14871,1058
4.22,454,584,39
3.71,336,451,28
3.84,432,1061,49
3.7,408,17247,752
3.41,331,2265,140
3.9,381,57,7
4.33,407,9,0
4.1,192,6,0
4.03,188,13,1
4.06,48,350,78
3.99,203,724,93
3.15,319,182,25
3.9,294,923,103
3.78,480,1933,231
3.87,456,45,2
3.84,400,3259,313
3.9,48,127,25
0,200,0,0
4.47,254,84,5
4.27,557,841,145
4.24,201,7623,651
3.73,211,21537,783
3.61,288,15469,606
3.97,437,61387,1737
3.38,179,1026,127
3.67,406,1049,112
3.93,480,129,28
4.13,304,90,16
4.23,673,516,62
4.23,591,71,2
4.36,928,5825,119
4.24,943,5277,153
3.5,372,1139,171
3.67,768,40,7
3.94,848,3394,186
4.28,1110,4186,117
4.1,896,294,47
4.29,1104,9397,190
3.81,288,150,17
3.66,128,22,2
3.92,196,494652,15885
3.87,272,15608,1537
3.87,268,5903,724
3.87,240,33,6
3.3,372,937,63
3.95,225,7478,341
3.9,351,10041,613
3.78,303,14031,1156
3.44,320,928,60
4.1,352,151617,3058
4.03,341,123319,3173
3.8,465,66639,2374
4.02,368,35997,2619
3.98,276,124127,5221
3.66,338,44751,3118
4.15,444,28,3
3.83,212,1570,158
3.96,370,2714,224
4.16,240,555926,10210
3.69,320,36759,1155
3.96,342,197377,3431
3.98,327,1951,68
3.71,514,31644,4171
4.08,192,78,9
3.52,112,752,95
4.14,310,79641,1858
3.86,368,2794,73
4.07,256,301,33
3.79,74,53,7
3.74,72,41,7
4.14,401,19,3
3.55,80,56,7
3.47,48,24,5
4.06,208,592,9
4.58,276,571,55
4.09,208,696,17
4.07,238,359,21
3.79,124,5551,290
3.4,368,895,74
2.33,157,2,0
3.73,304,13,2
3.4,157,5,0
3.5,212,4,0
3.9,192,114,9
4.11,541,8796,699
4.1,339,37417,1256
4.25,410,180,20
3.84,246,905,25
4.22,8,61,8
3.89,288,3614,228
4.43,2088,95486,1449
3.9,288,5869,176
4.47,1059,23814,534
4.63,1878,1396,54
4.54,907,2189,32
4.22,244,1989,71
3.98,6,17,4
4.26,304,27,7
4.31,336,811,86
4.18,218,120,9
4.33,334,2135,87
4.49,709,946,62
3.77,458,113,16
3.77,454,867,88
3.35,328,916,26
4.25,157,4725,306
4.12,208,1464909,54469
3.83,192,2117,210
4.12,288,1668,120
4.16,185,146,4
3.56,400,1384,196
3.4,200,384,60
3.17,270,481,57
3.51,195,18513,1722
3.51,195,576,103
3.96,405,9,2
3.71,220,3092,269
3.65,240,379,29
3.65,242,569,61
3.65,257,936,79
3.63,244,33,3
3.83,204,210,23
3.72,445,51261,3577
3.79,403,184607,8122
3.28,253,556,90
3.37,224,130,16
3.95,245,200260,3151
3.94,257,29983,2583
4.1,816,166,21
4.16,594,1106,65
3.97,292,169,17
3.99,222,24309,1500
3.99,272,21116,834
3.46,197,1930,203
3.61,272,1099,64
3.97,180,35497,2149
3.97,368,287,21
3.76,157,1243,106
3.72,160,2769,213
3.15,347,9202,558
3.76,448,96220,5370
3.76,528,164,16
3.76,642,33,1
3.57,233,18175,631
3.57,256,318,26
3.89,242,14,1
4.02,512,401,10
3.82,512,11,3
4.2,1436,1014,72
4.19,1478,332,16
3.61,448,522,49
4,408,454,25
3.61,1333,646,25
4.09,198,16,3
4.09,174,34,3
3.95,288,247,15
3.83,256,1316,53
3.76,160,1,0
3.73,247,13742,725
4.3,319,53,13
3.98,862,0,0
3.73,310,40,6
3.77,309,11860,487
3.74,181,45482,2646
3.81,264,14712,603
3.6,230,11597,519
3.75,214,9031,334
3.96,326,13606,397
3.63,229,16198,916
3.89,259,21715,702
3.55,120,4801,187
3.63,293,7407,515
3.78,432,561,41
3.93,204,1295,74
3.92,200,23,6
3.68,192,416,41
3.95,72,748,44
4.07,184,206,24
4.02,272,4388,156
4,239,1331,31
3.64,243,417,32
4.27,249,338,23
4.28,104,871,62
3.94,128,352,49
4,153,1369,70
3.98,358,489,72
3.83,335,9,5
4.13,45,5,0
3.79,653,128702,7314
3.93,367,1071,88
3.91,511,6523,278
3.67,158,61,15
3.75,394,367,16
3.67,256,222,15
3.92,429,9511,486
3.81,400,10330,682
3.94,218,8969,303
3.99,306,7815,247
3.82,225,40,4
4.02,459,9799,359
3.94,306,479,74
3.94,250,25497,887
4,352,13447,309
3.69,400,3670,269
3.87,940,4745,666
3.87,1023,150559,3770
3.87,544,70,6
3.87,1168,390,41
